,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
49,Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,350,8750,3063,In-store
50,Foot Locker,1185732,2021-06-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,350,8750,3500,In-store
51,Foot Locker,1185732,2021-10-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750,3063,In-store
52,Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750,3063,In-store
53,West Gear,1185732,2021-05-12,West,Utah,Salt Lake City,Women's Street Footwear,25.0,350,8750,3063,In-store
54,West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Street Footwear,10.0,350,3500,1225,In-store
55,Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,350,8750,3500,Online
56,Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,350,8750,3500,Online
57,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,350,8750,3063,Online
58,Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Street Footwear,10.0,350,3500,1400,Online
59,Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Apparel,25.0,350,8750,3500,Online
60,Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,15.0,350,5250,2100,Online
61,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,20.0,350,7000,2800,Online
62,West Gear,1197831,2021-10-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.0,350,7000,2450,Online
63,Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.0,350,8750,3063,Online
64,Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,350,5250,1838,Online
65,Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Apparel,25.0,350,8750,3063,Online
66,West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Women's Apparel,25.0,350,8750,3500,In-store
67,Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,32.0,350,1120,414,Outlet
68,Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,36.0,350,1260,365,Outlet
69,Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,43.0,350,1505,497,Outlet
70,Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,45.0,350,1575,473,Outlet
71,Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,38.0,350,1330,758,Outlet
72,Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,26.0,349,907,426,Outlet
73,Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,46.0,347,1596,511,Outlet
74,West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,345,6900,2415,In-store
75,West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,41.0,341,1398,601,Outlet
76,Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,41.0,340,1394,474,Outlet
77,Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,48.0,340,1632,490,Outlet
78,West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,41.0,338,1386,527,Outlet
79,Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,47.0,336,1579,963,Online
80,Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,39.0,333,1299,351,Outlet
81,Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,42.0,333,1399,559,Outlet
82,Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,32.0,333,1066,426,Outlet
83,Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,34.0,333,1132,476,Outlet
84,West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,46.0,332,1527,321,Outlet
85,Sports Direct,1197831,2021-09-24,South,Texas,Dallas,Women's Street Footwear,35.0,332,1162,546,Outlet
86,Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,38.0,330,1254,401,Outlet
87,Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,50.0,330,1650,462,Outlet
88,Foot Locker,1185732,2021-08-06,Southeast,South Carolina,Charleston,Men's Street Footwear,62.0,326,2021,1152,Online
89,Foot Locker,1185732,2021-08-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125,3250,In-store
90,Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125,3250,In-store
91,West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.0,325,6500,2600,In-store
92,West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Men's Athletic Footwear,25.0,325,8125,2844,In-store
93,West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Women's Street Footwear,15.0,325,4875,1706,In-store
94,West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Athletic Footwear,10.0,325,3250,1300,In-store
95,West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Men's Apparel,20.0,325,6500,2275,In-store
96,Amazon,1185732,2021-03-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,325,8125,3250,Online
97,Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,325,8125,3250,Online
98,Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,325,6500,2275,Online
99,Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,15.0,325,4875,1950,Online
100,Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Apparel,25.0,325,8125,2844,Online
101,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,15.0,325,4875,1950,Online
102,Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Apparel,20.0,325,6500,2275,Online
103,Kohl's,1197831,2021-10-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.0,325,6500,2275,Online
104,West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Street Footwear,20.0,325,6500,2600,In-store
105,Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,58.0,325,1885,1150,Online
106,Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,40.0,324,1296,518,Outlet
107,Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,63.0,323,2035,1140,Online
108,Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,32.0,323,1034,393,Outlet
109,Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,36.0,323,1163,314,Outlet
110,Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,33.0,323,1066,448,Outlet
111,Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,53.0,322,1707,478,Outlet
112,West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,40.0,322,1288,425,Outlet
113,Sports Direct,1197831,2021-09-18,South,Texas,Dallas,Women's Street Footwear,33.0,322,1063,446,Outlet
114,Sports Direct,1197831,2021-04-17,South,Tennessee,Knoxville,Women's Street Footwear,30.0,322,966,483,Outlet
115,Sports Direct,1197831,2021-09-08,South,Alabama,Birmingham,Women's Street Footwear,31.0,322,998,559,Outlet
116,West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Street Footwear,25.0,320,8000,3200,Online
117,Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,36.0,320,1152,403,Outlet
118,Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,44.0,320,1408,408,Outlet
119,Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,59.0,319,1882,1129,Online
120,Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,37.0,319,1180,531,Online
121,Foot Locker,1185732,2020-08-12,Southeast,Florida,Miami,Men's Street Footwear,43.0,319,1372,782,Online
122,Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,41.0,318,1304,482,Outlet
123,Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,54.0,317,1712,1096,Online
124,Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,39.0,315,1229,405,Outlet
125,Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103,397,Outlet
126,Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103,364,Outlet
127,Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,28.0,315,882,335,Outlet
128,Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,36.0,315,1134,442,Outlet
129,Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,44.0,315,1386,513,Outlet
130,Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,24.0,315,756,295,Outlet
131,Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,36.0,315,1134,431,Outlet
132,Kohl's,1189833,2021-05-25,West,California,Los Angeles,Men's Street Footwear,39.0,315,1229,565,Outlet
133,Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,27.0,314,848,348,Outlet
134,Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,37.0,314,1162,430,Outlet
135,Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,39.0,314,1225,576,Outlet
136,Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,46.0,313,1440,893,Online
137,Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,55.0,313,1722,1050,Online
138,Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,62.0,312,1934,1238,Online
139,Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,38.0,312,1186,700,Online
140,Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,40.0,312,1248,449,Outlet
141,Foot Locker,1185732,2021-07-05,Southeast,South Carolina,Charleston,Men's Street Footwear,63.0,311,1959,1156,Online
142,Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,43.0,310,1333,467,Outlet
143,Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,53.0,308,1632,669,Online
144,Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.0,308,1879,996,Online
145,Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,43.0,306,1316,487,Outlet
146,Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,43.0,306,1316,461,Outlet
147,Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,34.0,306,1040,406,Outlet
148,Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,41.0,306,1255,502,Outlet
149,Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,20.0,306,612,257,Outlet
150,Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,23.0,306,704,260,Outlet
151,Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,29.0,306,887,364,Outlet
152,Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,31.0,306,949,379,Outlet
153,Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,41.0,306,1255,690,Outlet
154,West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,60.0,306,1836,477,Outlet
155,West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,46.0,306,1408,282,Outlet
156,Kohl's,1189833,2021-05-01,West,California,Los Angeles,Men's Street Footwear,36.0,306,1102,496,Outlet
157,Sports Direct,1197831,2021-04-14,South,Tennessee,Knoxville,Women's Apparel,37.0,306,1132,668,Outlet
158,West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Men's Street Footwear,62.0,306,1897,816,Outlet
159,Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,64.0,305,1952,761,Online
160,Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,27.0,305,824,305,Outlet
161,Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,33.0,305,1007,382,Outlet
162,Foot Locker,1197831,2021-08-08,West,Idaho,Boise,Women's Street Footwear,39.0,305,1190,511,Outlet
163,West Gear,1185732,2020-09-17,Southeast,Florida,Miami,Men's Street Footwear,60.0,304,1824,1040,Online
164,Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,36.0,302,1087,565,Outlet
165,West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,45.0,302,1359,544,Outlet
166,Sports Direct,1197831,2021-04-01,South,Tennessee,Knoxville,Men's Apparel,30.0,300,9000,3150,Outlet
167,Sports Direct,1197831,2021-09-28,South,Alabama,Birmingham,Men's Apparel,30.0,300,9000,4050,Outlet
168,Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Women's Street Footwear,30.0,300,9000,3150,In-store
169,Foot Locker,1185732,2021-09-19,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,300,4500,1575,In-store
170,West Gear,1185732,2021-02-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,300,6000,2400,In-store
171,West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,300,6000,2100,In-store
172,Amazon,1185732,2021-01-22,Midwest,Ohio,Columbus,Women's Street Footwear,30.0,300,9000,3600,Online
173,Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,300,6000,2400,Online
174,Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,300,6000,2400,Online
175,Walmart,1197831,2021-04-20,South,Arkansas,Little Rock,Men's Athletic Footwear,25.0,300,7500,2625,Online
176,Walmart,1197831,2021-04-20,South,Arkansas,Little Rock,Women's Street Footwear,15.0,300,4500,1800,Online
177,Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Street Footwear,20.0,300,6000,2400,Online
178,Kohl's,1197831,2021-11-20,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15.0,300,4500,1575,Online
179,Kohl's,1197831,2021-02-14,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,300,4500,1575,Online
180,Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Apparel,30.0,300,9000,3150,Online
181,Foot Locker,1197831,2021-10-14,Midwest,Kansas,Wichita,Women's Apparel,30.0,300,9000,3150,Online
182,West Gear,1185732,2021-06-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30.0,300,9000,3150,In-store
183,West Gear,1185732,2021-01-10,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.0,300,7500,2625,In-store
184,West Gear,1185732,2021-02-10,Midwest,Indiana,Indianapolis,Women's Apparel,20.0,300,6000,2400,In-store
185,West Gear,1185732,2021-01-17,Midwest,Indiana,Indianapolis,Women's Street Footwear,25.0,300,7500,3000,In-store
186,West Gear,1185732,2021-02-17,Midwest,Indiana,Indianapolis,Women's Street Footwear,30.0,300,9000,3600,In-store
187,Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Street Footwear,30.0,300,9000,2700,In-store
188,Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,45.0,300,1350,837,Online
189,Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,51.0,300,1530,643,Online
190,West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Street Footwear,52.0,300,1560,874,Online
191,Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,60.0,299,1794,1076,Online
192,West Gear,1185732,2020-09-11,Southeast,Florida,Miami,Men's Street Footwear,60.0,299,1794,1076,Online
193,Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,42.0,298,1252,713,Outlet
194,Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,38.0,298,1132,430,Outlet
195,West Gear,1128299,2021-07-23,West,Oregon,Portland,Men's Street Footwear,60.0,298,1788,751,Outlet
196,Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,39.0,297,1158,533,Online
197,Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,38.0,297,1129,429,Outlet
198,Kohl's,1189833,2021-04-19,West,California,Los Angeles,Men's Street Footwear,36.0,297,1069,470,Outlet
199,Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Street Footwear,68.0,297,2020,747,Outlet
200,Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,37.0,296,1095,383,Outlet
201,Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,37.0,296,1095,449,Outlet
202,Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,295,7375,2581,In-store
203,Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,35.0,295,1033,434,Outlet
204,Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,32.0,295,944,538,Outlet
205,Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,28.0,295,826,339,Outlet
206,Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,29.0,295,856,342,Outlet
207,Sports Direct,1185732,2021-07-02,Southeast,North Carolina,Charlotte,Men's Street Footwear,60.0,294,1764,882,Online
208,Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,43.0,294,1264,531,Outlet
209,Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,47.0,293,1377,868,Online
210,West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,51.0,293,1494,598,Online
211,Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,48.0,290,1392,529,Online
212,Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,59.0,290,1711,616,Online
213,Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,62.0,290,1798,665,Online
214,Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,68.0,290,1972,749,Online
215,Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,68.0,290,1972,690,Online
216,West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Street Footwear,55.0,290,1595,941,Online
217,Foot Locker,1185732,2021-12-05,Southeast,South Carolina,Charleston,Men's Street Footwear,67.0,290,1943,1166,Online
218,Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,43.0,289,1243,398,Outlet
219,Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,31.0,289,896,331,Outlet
220,Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,33.0,289,954,381,Outlet
221,Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,51.0,289,1474,472,Outlet
222,Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,23.0,289,665,279,Outlet
223,Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,44.0,289,1272,725,Outlet
224,West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,28.0,289,809,340,Outlet
225,West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,36.0,289,1040,343,Outlet
226,Kohl's,1189833,2021-05-07,West,California,Los Angeles,Men's Street Footwear,38.0,289,1098,505,Outlet
227,Foot Locker,1185732,2021-07-16,South,Mississippi,Jackson,Men's Street Footwear,47.0,289,1358,625,Outlet
228,Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,36.0,288,1037,435,Outlet
229,Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,45.0,288,1296,441,Outlet
230,Kohl's,1189833,2021-05-26,West,California,Los Angeles,Men's Athletic Footwear,42.0,288,1210,339,Outlet
231,West Gear,1185732,2021-02-10,Southeast,Florida,Orlando,Men's Street Footwear,36.0,288,1037,487,Outlet
232,Foot Locker,1185732,2021-09-05,Southeast,South Carolina,Charleston,Men's Street Footwear,51.0,287,1464,849,Online
233,Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,30.0,287,861,362,Outlet
234,West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,40.0,287,1148,402,Outlet
235,West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,42.0,287,1205,205,Outlet
236,Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,61.0,286,1745,698,Online
237,Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,54.0,285,1539,723,Online
238,Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,44.0,285,1254,602,Online
239,Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,46.0,285,1311,787,Online
240,Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,32.0,285,912,383,Outlet
241,Kohl's,1189833,2021-04-25,West,California,Los Angeles,Men's Street Footwear,30.0,285,855,402,Outlet
242,Foot Locker,1185732,2020-09-23,Southeast,Florida,Miami,Men's Street Footwear,53.0,284,1505,828,Online
